product_title,product_url,category,typical_price_gbp,service_page_url,service_page_title,known_variants,sources
Landscape Photography Workshop Glencoe | 15 - 17 Mar 2021,https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshops-glencoe,workshop (residential),,https://www.alanranger.com/photography-workshops-near-me,Photography Workshops Near Me (residential / 2+ day hub),,05-workshops
NANT MILL Woodlands and Waterfalls Photo Workshop 30 May,https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshops-nant-mill,workshop (half-day),,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops
Long Exposure Photography Workshop KENILWORTH Sunset,https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-kenilworth,workshop (half-day),50,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
FAIRY GLEN and Fairy Falls Long Exposure Photography,https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-workshop-fairy-glen,workshop (half-day),125,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
BURNHAM ON SEA Long Exposure Photography Workshop 1 Aug,https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-workshops-burnham,workshop (half-day),95,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
NORTH YORKSHIRE Landscape Photography Workshop - Sep 2026,https://www.alanranger.com/photo-workshops-uk/north-yorkshire-landscape-photography,workshop (residential),,https://www.alanranger.com/photography-workshops-near-me,Photography Workshops Near Me (residential / 2+ day hub),,05-workshops
PEAK DISTRICT HEATHER Photography Workshops - 15-16 Aug,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,workshop (half-day),125,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
Photography Workshops CHESTERTON WINDMILL - Warwickshire,https://www.alanranger.com/photo-workshops-uk/photography-workshops-chesterton-windmill,workshop (half-day),50,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
LAVENDER FIELD Photography Workshop - Gloucestershire July,https://www.alanranger.com/photo-workshops-uk/photography-workshops-lavender-fields,workshop (half-day),150,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
Poppy Fields Photography Workshops | Worcestershire,https://www.alanranger.com/photo-workshops-uk/poppy-fields-photography-workshops,workshop (half-day),,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops
"The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct",https://www.alanranger.com/photo-workshops-uk/secrets-of-woodland-photography-workshop,workshop (1-day),125,https://www.alanranger.com/landscape-photography-workshops,Landscape Photography Workshops,,05-workshops; 05-event-mappings
SEZINCOTE Garden Photography Workshop - Gloucs 29 May,https://www.alanranger.com/photo-workshops-uk/sezincote-garden-photography-workshop,workshop (half-day),55,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
Shropshire Landscape Photography Workshop | Shrewsbury,https://www.alanranger.com/photo-workshops-uk/shropshire-landscape-photography-workshops,workshop (1-day),,https://www.alanranger.com/landscape-photography-workshops,Landscape Photography Workshops,,05-workshops
SOMERSET Landscape Photography Workshops 9 - 11 May 2025,https://www.alanranger.com/photo-workshops-uk/somerset-landscape-photography-workshops,workshop (residential),,https://www.alanranger.com/photography-workshops-near-me,Photography Workshops Near Me (residential / 2+ day hub),,05-workshops
SUFFOLK Landscape Photography Workshops - 5th-7th Feb,https://www.alanranger.com/photo-workshops-uk/suffolk-landscape-photography-workshops,workshop (residential),995,https://www.alanranger.com/photography-workshops-near-me,Photography Workshops Near Me (residential / 2+ day hub),Suffolk Landscape Photography Workshops | Southwold,05-workshops; 05-event-mappings
URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep,https://www.alanranger.com/photo-workshops-uk/urban-architecture-photography-workshops-coventry,workshop (half-day),50,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
WALES Photography Workshop | Lake Vyrnwy 10-11 Oct,https://www.alanranger.com/photo-workshops-uk/wales-photography-workshop-pistyll-rhaeadr,workshop (residential),525,https://www.alanranger.com/photography-workshops-near-me,Photography Workshops Near Me (residential / 2+ day hub),WALES Photography Workshop | Lake Vyrnwy 30-31 May,05-workshops; 05-event-mappings
WARWICKSHIRE Woodland PHOTOGRAPHY WALKS - Monthly - 2hrs,https://www.alanranger.com/photo-workshops-uk/woodland-photography-walk-warwickshire,workshop (half-day),15,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
